,Track_duration,Popularity,Danceability,Energy,Key,Loudness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Year
66,231986,0,0.349,0.795,7,-4.133,0.0102,0.000138,0.0812,0.542,148.985,2013
67,218573,84,0.951,0.6,0,-4.675,0.106,0.0,0.0712,0.822,125.04,2005
68,321933,0,0.702,0.626,0,-8.448,0.0744,2e-05,0.072,0.799,125.199,1975
69,200880,60,0.719,0.616,1,-3.951,0.00683,3.11e-05,0.0742,0.625,124.963,2010
70,225960,0,0.704,0.247,0,-8.736,0.64,1.72e-06,0.085,0.236,86.952,2011
71,211661,52,0.737,0.784,7,-7.902,0.00682,0.2,0.537,0.587,99.773,1999
72,403493,65,0.632,0.88,2,-4.051,0.0144,0.0021,0.118,0.338,129.007,2012
73,257933,54,0.574,0.238,7,-18.072,0.365,1.32e-05,0.126,0.126,84.018,1995
74,271813,72,0.561,0.522,2,-5.857,0.227,0.0,0.104,0.238,83.962,2012
75,153205,73,0.392,0.629,5,-7.056,0.718,3.76e-06,0.129,0.72,124.511,1966
76,205207,64,0.521,0.877,7,-5.444,0.0132,0.0806,0.0929,0.199,180.007,2020
77,195986,73,0.813,0.732,7,-5.636,0.0597,0.00137,0.0826,0.731,130.02,2011
78,329146,73,0.742,0.533,0,-9.098,0.459,0.148,0.064,0.391,97.395,2008
79,252760,64,0.464,0.321,2,-11.12,0.877,0.0,0.0789,0.306,93.528,2014
80,210090,79,0.69,0.622,5,-5.025,0.253,0.0,0.116,0.544,102.04,2017
81,184013,43,0.638,0.803,8,-5.467,0.0244,0.0,0.169,0.756,128.035,2011
82,245040,63,0.604,0.788,0,-3.673,0.0678,0.153,0.127,0.301,126.06,2011
83,136293,7,0.617,0.658,0,-9.223,0.494,0.0,0.293,0.949,128.363,1965
84,210946,17,0.593,0.834,2,-6.007,0.0486,0.000584,0.115,0.813,148.719,1996
85,185640,0,0.787,0.848,1,-4.696,0.0915,0.0,0.15,0.947,121.989,2014
86,169265,85,0.667,0.373,4,-9.389,0.785,0.0,0.0906,0.0823,124.148,2020
87,241973,50,0.585,0.973,2,-2.894,0.00676,5.21e-05,0.262,0.958,161.05,2009
88,286853,0,0.644,0.595,1,-6.877,0.121,0.0,0.279,0.554,148.889,2015
89,252600,58,0.515,0.908,8,-4.632,0.0158,1.88e-05,0.412,0.637,150.031,2000
90,209426,55,0.725,0.844,11,-3.707,0.363,0.000716,0.125,0.711,104.001,2016
91,206866,0,0.694,0.81,11,-3.556,0.122,0.0,0.141,0.824,137.968,2014
92,182960,51,0.634,0.587,2,-6.595,0.271,0.0,0.165,0.623,105.642,2002
93,239120,54,0.379,0.664,11,-6.863,0.0167,0.000679,0.0915,0.301,115.272,2007
94,233173,72,0.45,0.442,9,-12.718,0.493,0.00564,0.134,0.812,208.282,1971
95,211160,76,0.633,0.673,6,-6.403,0.297,0.0,0.206,0.659,86.776,2010
96,212306,40,0.677,0.915,0,-3.859,0.00121,0.916,0.322,0.545,124.929,1977
97,181946,49,0.769,0.721,2,-12.076,0.488,1.09e-06,0.316,0.857,123.057,2011
98,192789,0,0.653,0.822,0,-4.857,0.00021,0.0047,0.0838,0.762,117.949,2013
99,252786,64,0.42,0.969,1,-3.139,2.84e-05,0.00861,0.379,0.182,174.038,2010
100,278973,0,0.53,0.59,11,-9.169,0.183,0.00227,0.0675,0.43,144.202,1993
101,256733,74,0.543,0.912,7,-10.71,0.00162,2.1e-06,0.0565,0.836,103.731,1991
102,236000,37,0.699,0.68,4,-3.607,0.00993,0.0,0.11,0.578,94.979,2018
103,219999,0,0.768,0.741,1,-9.252,0.0234,7.2e-05,0.242,0.95,125.06,2003
104,235800,43,0.629,0.721,5,-4.299,0.0395,0.0,0.349,0.787,159.951,2010
105,220133,37,0.421,0.66,8,-8.106,0.152,0.444,0.0948,0.512,119.46,1977
106,209440,81,0.376,0.695,0,-4.782,0.135,0.0,0.11,0.302,169.533,2013
107,207013,20,0.653,0.845,4,-4.912,0.219,0.0,0.921,0.552,123.086,2012
108,264240,11,0.216,0.544,5,-8.132,0.663,0.0,0.882,0.301,75.017,2017
109,210219,65,0.783,0.435,7,-7.78,0.282,0.0,0.0833,0.512,106.974,2021
110,197800,0,0.783,0.67,7,-3.935,0.199,0.0,0.274,0.842,106.05,2015
111,173333,84,0.726,0.431,8,-8.765,0.731,0.0,0.696,0.348,144.026,2020
112,212626,43,0.571,0.714,11,-5.005,0.08,0.0,0.478,0.741,122.955,2013
113,181880,30,0.648,0.72,11,-3.514,0.00266,0.0,0.0717,0.594,108.012,2015
114,248466,0,0.937,0.98,2,-5.037,0.0566,0.000373,0.0273,0.939,122.007,2005
115,245133,52,0.839,0.706,5,-6.104,0.208,0.0,0.242,0.839,96.673,2001
116,253373,57,0.852,0.591,5,-8.668,0.103,0.421,0.0468,0.826,115.592,1991
117,301826,56,0.702,0.588,0,-9.739,0.0805,0.0193,0.184,0.728,121.738,1981
118,300240,10,0.557,0.38,0,-12.645,0.776,0.0667,0.0989,0.569,99.83,2005
119,256386,45,0.753,0.834,4,-6.516,0.212,2.93e-05,0.259,0.852,131.909,1982
120,393640,0,0.52,0.363,1,-12.655,0.0752,1.13e-05,0.0609,0.273,131.224,1991
121,177440,59,0.442,0.596,2,-6.327,0.037,4.46e-06,0.172,0.497,83.414,1968
122,151640,63,0.7,0.465,4,-6.815,0.544,0.0,0.606,0.719,108.102,2006
123,187013,0,0.542,0.444,4,-11.567,0.212,0.0519,0.102,0.827,171.719,1977
124,295173,0,0.715,0.733,1,-7.068,0.134,0.0,0.157,0.897,87.665,2003
125,204400,35,0.706,0.719,2,-4.239,0.00706,0.0,0.0377,0.495,126.112,2014
126,248066,30,0.553,0.843,7,-8.398,0.00307,0.0,0.0818,0.834,177.113,2013
127,229525,62,0.689,0.481,10,-7.503,0.369,1.03e-06,0.0649,0.283,80.025,2016
128,258200,65,0.744,0.697,8,-14.753,0.039,0.0,0.171,0.683,119.955,1991
129,228373,0,0.449,0.599,1,-4.892,0.211,0.0,0.327,0.165,134.144,2018
130,194880,12,0.379,0.494,10,-6.817,0.685,6.33e-06,0.204,0.231,142.342,1995
131,147600,80,0.805,0.558,0,-5.226,0.164,2.2e-05,0.0546,0.965,114.95,1967
132,222253,37,0.801,0.961,10,-7.027,0.00765,7.7e-05,0.0639,0.909,120.378,1990
133,203573,0,0.529,0.127,11,-16.066,0.611,0.000109,0.237,0.578,63.05,1969
134,212600,77,0.56,0.825,2,-6.711,0.000785,0.00246,0.0892,0.74,142.669,1999
135,258466,61,0.731,0.355,8,-12.741,0.00864,5.14e-05,0.0579,0.529,175.72,1995
136,233413,0,0.643,0.765,2,-8.602,0.00157,0.00977,0.169,0.868,137.979,1999
137,260026,79,0.398,0.927,9,-4.212,6.2e-05,0.000177,0.0575,0.311,77.106,1997
138,247946,71,0.591,0.935,6,-2.664,0.000284,0.000278,0.142,0.736,140.043,2012
139,257266,15,0.662,0.71,1,-4.945,0.0603,0.0,0.119,0.465,121.979,2013
140,269933,33,0.254,0.761,7,-3.744,0.0006,0.0004,0.265,0.412,118.752,2018
141,332973,54,0.867,0.714,4,-5.144,0.0224,0.704,0.104,0.623,123.974,2007
142,257213,42,0.761,0.484,10,-14.976,0.366,2.81e-05,0.189,0.826,110.45,1979
143,271493,54,0.773,0.721,3,-12.574,0.232,1.61e-05,0.0349,0.971,110.383,2004
144,204333,0,0.558,0.268,11,-17.915,0.791,0.00488,0.0863,0.432,84.559,2018
145,187493,0,0.709,0.869,1,-3.209,0.103,0.0,0.0769,0.773,99.906,2001
146,202914,69,0.661,0.651,7,-3.771,0.117,1.32e-05,0.056,0.368,87.46,2017
147,212862,85,0.612,0.84,11,-3.145,0.112,0.0,0.116,0.438,129.042,2012
148,216360,59,0.551,0.882,2,-6.808,0.00724,1.13e-05,0.322,0.888,166.403,1980
149,232960,55,0.498,0.634,3,-5.214,0.166,0.0,0.3,0.36,144.104,2009
150,184840,36,0.334,0.557,6,-5.961,0.155,1.66e-06,0.106,0.362,197.622,2013
151,209120,66,0.631,0.796,1,-5.35,0.000245,0.0115,0.38,0.596,92.469,2019
152,270506,0,0.663,0.777,11,-4.954,0.277,0.0,0.0466,0.758,92.681,2004
153,206226,24,0.69,0.883,1,-4.091,0.0103,0.0,0.344,0.642,123.123,2008
154,270651,71,0.653,0.666,6,-7.808,0.0508,0.0466,0.139,0.765,128.505,1982
155,296266,65,0.654,0.417,5,-7.699,0.0624,0.0,0.0963,0.279,143.676,1996
156,236093,13,0.768,0.815,9,-9.302,0.175,0.0,0.065,0.907,125.393,2000
157,353360,62,0.757,0.905,5,-6.771,0.00254,0.0012,0.0357,0.621,125.002,1998
158,291666,0,0.569,0.472,7,-10.138,0.536,1.44e-05,0.1,0.346,145.513,1996
159,193920,79,0.66,0.805,1,-5.352,0.0192,8.83e-06,0.159,0.625,103.008,2014
160,312733,0,0.32,0.426,5,-14.143,0.0044,0.000319,0.64,0.429,175.895,1984
161,208186,71,0.384,0.921,11,-3.334,0.0948,0.0,0.168,0.471,89.922,2004
162,128533,3,0.571,0.636,10,-6.877,0.0222,0.0,0.0748,0.96,145.241,2003
163,205131,60,0.681,0.889,0,-3.58,0.164,0.0,0.207,0.833,123.661,1980
164,285106,65,0.665,0.847,5,-8.314,0.0178,0.00288,0.126,0.4,119.555,1992
165,199013,0,0.799,0.314,7,-9.627,0.164,0.0,0.158,0.842,166.064,2010
166,259800,0,0.405,0.517,0,-4.696,0.68,0.0,0.0918,0.325,102.678,1983
167,466906,25,0.724,0.804,1,-14.508,0.0559,0.0895,0.214,0.437,141.86,1969
168,144333,0,0.701,0.261,0,-19.846,0.219,0.0,0.0821,0.89,97.042,1983
169,182933,57,0.633,0.564,8,-7.789,0.135,0.0,0.201,0.648,164.008,2019
170,253536,0,0.507,0.833,1,-4.658,0.0351,0.0,0.259,0.649,95.978,2012
171,315466,45,0.802,0.962,8,-7.28,0.00363,0.0794,0.312,0.966,127.035,1994
172,266560,74,0.613,0.72,0,-7.957,0.0132,0.0,0.104,0.561,117.341,1992
173,233960,40,0.604,0.622,7,-7.782,0.0943,0.00577,0.204,0.424,126.238,2009
174,280533,67,0.617,0.439,9,-5.63,0.424,0.0,0.127,0.242,139.979,2017
175,659000,42,0.497,0.883,7,-5.819,0.0365,0.0,0.927,0.61,101.994,2001
176,237546,68,0.791,0.702,1,-7.333,0.0174,0.0,0.423,0.789,103.646,2015
177,215400,57,0.444,0.757,11,-6.884,0.699,0.0,0.329,0.554,154.26,2001
178,177333,55,0.569,0.428,7,-13.038,0.457,5.08e-06,0.105,0.617,113.168,1959
179,170640,79,0.664,0.316,5,-10.345,0.298,2.03e-06,0.0812,0.541,92.875,2019
180,228300,64,0.747,0.701,2,-4.902,0.108,0.0,0.0712,0.589,100.012,2017
181,226453,0,0.704,0.557,4,-12.813,0.175,0.00231,0.0631,0.777,113.194,1987
182,271640,81,0.704,0.634,11,-7.374,0.393,3.17e-05,0.0952,0.411,113.927,2016
183,180240,30,0.696,0.699,4,-3.76,0.0374,0.00108,0.0485,0.967,127.988,2011
184,198049,45,0.368,0.858,1,-4.986,0.093,0.00267,0.0986,0.542,175.7,2015
185,278293,62,0.805,0.942,0,-6.584,0.0745,1.46e-05,0.415,0.608,106.525,1995
186,247893,20,0.35,0.775,7,-6.3,0.00121,6.85e-05,0.198,0.467,148.982,2002
187,151613,31,0.692,0.413,2,-11.91,0.118,0.0,0.305,0.744,121.77,2005
188,211080,0,0.803,0.851,7,-2.429,0.00485,0.000358,0.0577,0.881,113.996,2007
189,187146,0,0.605,0.813,0,-4.785,0.00702,0.114,0.145,0.238,167.997,2017
190,229080,73,0.672,0.593,11,-4.01,0.0223,0.0,0.214,0.438,98.02,2015
191,198066,71,0.748,0.939,0,-4.288,0.0534,0.0,0.32,0.96,104.001,1999
192,232893,59,0.6,0.657,0,-10.693,0.503,0.00013,0.0816,0.678,75.331,2005
193,212840,18,0.61,0.78,2,-9.393,0.0212,0.0,0.309,0.841,109.856,2003
194,167693,0,0.429,0.671,5,-4.689,0.0497,0.0,0.265,0.684,198.709,2015
195,272453,31,0.43,0.428,1,-8.228,0.528,0.0,0.12,0.155,125.218,2007
196,254973,40,0.739,0.709,7,-3.077,0.00356,0.0,0.0848,0.558,81.001,1999
197,249293,52,0.649,0.718,7,-4.984,0.00676,4.26e-06,0.174,0.477,79.993,2002
198,203106,35,0.586,0.928,8,-4.231,0.141,0.0,0.655,0.4,115.006,2008
199,190666,33,0.249,0.46,1,-9.914,0.755,0.0,0.395,0.462,82.495,1963
200,230706,53,0.423,0.92,0,-2.908,0.000675,5.99e-06,0.187,0.26,126.51,2009
201,254783,6,0.374,0.772,3,-5.702,0.104,0.0,0.111,0.637,159.149,2015
202,202213,71,0.52,0.513,7,-7.208,0.281,0.0,0.0976,0.17,77.903,2016
203,145933,7,0.607,0.488,5,-8.846,0.42,0.0,0.0609,0.838,124.601,1966
204,176561,0,0.723,0.809,7,-3.081,0.00346,0.00123,0.565,0.274,98.007,2015
